CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Churn,,,,
80,25,Female,35,38,3,22,Basic,4842,0,,,,
81,64,Female,12,,2,10,Standard,489,0,,,,
82,52,Male,40,33,9,6,Premium,2345,1,,,,
83,31,Female,8,15,2,28,Basic,656,1,,,,
84,34,Female,54,12,4,25,Premium,2100,0,,,,
85,53,Male,20,24,5,26,Standard,2604,0,,,,
86,67,Male,50,37,6,9,Standard,3625,0,,,,
87,57,Female,2,11,4,8,Standard,1210,1,,,,
88,21,Female,24,,6,1,Premium,4419,1,,,,
89,19,Male,24,1,3,4,Premium,1376,0,,,,
90,79,Female,11,17,4,9,Basic,3366,0,,,,
91,23,Male,28,40,5,24,Basic,1500,1,,,,
92,71,Male,10,16,8,27,Premium,4325,1,,,,
93,59,Female,51,26,5,28,Basic,2135,0,,,,
94,21,Female,10,43,9,13,Standard,1556,0,,,,
95,71,Female,48,43,0,26,Basic,4734,0,,,,
96,46,Unknown,25,15,6,15,Standard,1452,0,,,,
97,35,Male,52,8,2,26,Basic,1031,0,,,,
98,43,Male,13,30,5,1,Basic,1984,0,,,,
99,61,Male,15,14,1,18,Standard,3047,0,,,,
100,51,Female,55,,6,22,Basic,4280,1,,,,
101,27,Female,9,42,0,8,Standard,4402,1,,,,
102,79,Male,30,7,1,13,Basic,511,0,,,,
103,53,Male,30,18,8,14,Premium,4093,0,,,,
104,31,Male,35,12,8,18,Standard,220,1,,,,
105,48,Female,9,2,6,25,Standard,1580,0,,,,
106,65,Male,25,29,1,7,Standard,108,0,,,,
107,32,Male,19,21,4,26,Basic,4507,0,,,,
108,25,Female,43,7,3,14,Standard,3375,1,,,,
109,31,Female,8,27,1,7,Premium,599,0,,,,
110,40,Female,14,12,1,27,Standard,2797,0,,,,
111,77,Female,8,20,9,3,Basic,4340,0,,,,
112,74,Male,6,14,7,26,Standard,4596,0,,,,
113,79,Female,25,10,4,28,Standard,3074,0,,,,
114,57,Female,23,41,7,5,Standard,785,0,,,,
115,38,Unknown,11,23,1,10,Premium,854,0,,,,
116,33,Male,59,30,1,11,Standard,4678,0,,,,
117,62,Male,19,,2,23,Basic,2247,0,,,,
118,35,Male,55,31,9,27,Basic,2752,1,,,,
119,64,Male,13,10,7,8,Standard,4981,1,,,,
120,70,Female,21,19,7,17,Standard,2414,0,,,,
121,41,Male,15,19,2,16,Basic,4701,0,,,,
122,43,Male,28,44,0,20,Basic,4156,0,,,,
123,42,Male,31,23,6,25,Premium,2397,0,,,,
124,77,Male,18,44,3,2,Basic,4634,1,,,,
125,77,Male,54,41,2,26,Standard,3779,0,,,,
126,77,Male,34,32,4,12,Basic,486,1,,,,
127,62,Male,42,20,5,5,Basic,1585,1,,,,
128,58,Female,31,4,0,27,Standard,2643,1,,,,
129,46,Female,54,33,8,13,Premium,4811,1,,,,
130,32,Male,52,48,5,26,Premium,4851,0,,,,
131,62,Unknown,19,1,2,0,Basic,236,0,,,,
132,18,Female,50,13,0,27,Standard,2727,1,,,,
133,42,Female,39,3,8,26,Standard,4368,0,,,,
134,24,Male,19,12,1,3,Basic,2149,0,,,,
135,26,Male,7,29,9,21,Basic,956,0,,,,
136,41,Male,57,31,5,,,4693,0,,,,
137,18,Male,34,41,5,10,Standard,1243,0,,,,
138,61,Male,41,36,2,10,Standard,2937,0,,,,
139,25,Female,12,2,5,7,Standard,248,0,,,,
140,41,Male,40,22,1,3,Standard,2366,0,,,,
141,28,Male,5,22,7,1,Standard,2663,0,,,,
142,68,Female,46,41,0,0,Standard,669,0,,,,
143,34,Male,15,31,5,23,Basic,297,1,,,,
144,25,Female,4,45,0,,Basic,3545,0,,,,
145,52,Female,52,14,8,16,Premium,3197,0,,,,
146,52,Female,44,29,8,6,Basic,2605,0,,,,
147,50,Unknown,50,35,5,6,Standard,2856,0,,,,
148,76,Male,33,9,5,12,Premium,4106,1,,,,
149,22,Female,5,47,8,21,Basic,811,0,,,,
150,59,Female,58,32,4,23,Basic,1026,0,,,,
151,56,Female,32,27,8,25,Premium,3869,0,,,,
152,75,Female,14,10,4,0,Premium,4370,0,,,,
153,58,Female,14,25,3,27,Standard,4474,0,,,,
154,45,Male,13,49,1,0,Standard,307,0,,,,
155,24,Female,38,45,1,12,Basic,4970,0,,,,
156,26,Male,4,33,0,0,Standard,2452,0,,,,
157,25,Female,51,11,9,5,Standard,2875,0,,,,
158,29,Female,56,37,2,22,Basic,1091,1,,,,
159,51,Male,25,9,0,25,Basic,3526,0,,,,
160,50,Male,47,7,5,24,Basic,2178,1,,,,
161,65,Male,16,7,6,9,Basic,224,0,,,,
162,72,Female,42,34,8,20,Premium,4626,1,,,,
163,40,Female,46,19,6,0,Standard,960,0,,,,
164,79,Female,51,20,3,24,Basic,807,0,,,,
165,41,Female,15,42,3,4,Premium,1414,0,,,,
166,54,Female,34,25,7,21,Basic,4654,0,,,,
167,52,Male,37,5,3,24,,1157,0,,,,
168,61,Male,52,48,0,1,Standard,3698,0,,,,
169,57,Female,22,29,8,29,Premium,4536,0,,,,
170,39,Male,12,27,2,2,Basic,2986,0,,,,
171,44,Male,32,25,0,29,Basic,1460,0,,,,
172,52,Male,28,37,8,22,Basic,1269,0,,,,
173,18,Male,52,15,9,2,Basic,1673,0,,,,
174,52,Female,45,48,9,17,Standard,419,0,,,,
175,54,Male,33,4,4,22,Basic,4569,0,,,,
176,64,Female,33,14,8,7,Standard,470,1,,,,
177,31,Male,26,49,2,8,Standard,1908,0,,,,
178,20,Male,14,17,5,1,Basic,2563,1,,,,
179,18,Male,58,21,6,28,Basic,1716,0,,,,
180,22,Female,49,16,4,1,Premium,4113,0,,,,
181,43,Female,8,26,7,26,Basic,4778,0,,,,
182,,Female,25,9,9,15,Basic,4000,0,,,,
183,31,Female,2,2,5,6,Standard,970,1,,,,
184,56,Female,35,43,5,29,Standard,399,1,,,,
185,44,Female,46,15,6,3,Standard,2369,0,,,,
186,26,Female,4,35,7,4,Premium,1033,0,,,,
187,32,Female,19,24,1,0,Premium,3787,0,,,,
188,32,Male,19,48,6,21,Basic,4428,0,,,,
189,43,Female,4,38,8,9,Standard,2325,1,,,,
190,59,Female,9,14,0,12,Standard,173,0,,,,
191,77,Female,15,37,0,23,Standard,1469,0,,,,
192,30,Male,24,37,6,26,Standard,4248,1,,,,
193,68,Female,43,6,4,14,Standard,1555,0,,,,
194,49,Female,24,18,0,0,Standard,2612,1,,,,
195,56,Male,29,22,0,17,Basic,2916,0,,,,
196,,Female,13,18,1,22,Premium,1994,0,,,,
197,69,Male,21,2,9,13,Basic,4313,1,,,,
198,78,Male,42,32,8,17,Premium,2365,0,,,,
199,49,Male,27,17,2,24,Standard,1900,1,,,,
200,21,Male,29,1,8,21,Standard,2948,0,,,,
201,47,Female,18,9,5,11,Standard,381,1,,,,
202,54,Male,37,13,9,11,Basic,3469,0,,,,
203,40,Male,41,36,5,4,Premium,813,1,,,,
204,56,Male,19,37,6,6,Basic,1037,1,,,,
205,62,Male,34,30,9,25,Basic,915,0,,,,
206,32,Male,21,31,7,23,Basic,1875,0,,,,
207,60,Female,14,23,2,12,Basic,2327,0,,,,
208,46,Male,10,28,7,8,Basic,1278,0,,,,
209,53,Female,53,10,5,5,Basic,2062,1,,,,
210,30,Female,33,25,5,20,Standard,3893,0,,,,
211,49,Male,56,36,2,6,Standard,2531,0,,,,
212,24,Female,23,26,5,17,Premium,3014,1,,,,
213,76,Male,5,26,7,14,Basic,2431,0,,,,
214,68,Male,16,45,6,7,Basic,1901,0,,,,
215,39,Male,27,13,9,27,Basic,2598,0,,,,
216,45,Male,49,17,9,19,Standard,4672,0,,,,
217,19,Female,30,40,6,15,Standard,1267,0,,,,
218,59,Female,35,4,2,,Standard,356,1,,,,
219,62,Male,54,23,9,2,Basic,2535,0,,,,
220,79,Female,8,35,2,12,Basic,1848,1,,,,
221,74,Male,9,11,4,8,Basic,231,0,,,,
222,70,Female,20,12,4,19,Premium,2774,0,,,,
223,23,Male,57,9,8,14,Basic,2551,0,,,,
224,45,Male,33,15,8,25,Premium,4514,0,,,,
225,45,Male,30,45,9,25,Premium,4662,0,,,,
226,61,Male,28,37,4,29,Standard,902,1,,,,
227,61,Female,42,5,4,26,Premium,2263,0,,,,
228,37,Female,42,19,5,15,Basic,912,0,,,,
229,47,Male,10,11,7,15,Basic,4859,0,,,,
230,79,Female,32,9,5,18,Basic,597,0,,,,
231,28,Female,57,35,5,3,Basic,2652,0,,,,
232,75,Female,45,27,8,18,Basic,251,0,,,,
233,72,Male,0,13,0,18,Standard,3383,1,,,,
234,45,Male,20,12,3,1,Basic,1449,0,,,,
235,42,Female,22,9,9,5,Standard,1225,0,,,,
236,56,Female,56,42,9,12,Basic,1497,1,,,,
237,79,Male,8,28,1,14,Basic,2912,0,,,,
238,50,Male,55,13,8,9,Standard,380,0,,,,
239,,Male,0,20,2,21,Standard,4660,0,,,,
240,74,Female,20,13,9,9,Standard,1576,0,,,,
241,44,Female,21,27,1,3,Premium,372,1,,,,
242,79,Male,53,26,7,13,Standard,4087,0,,,,
243,74,Female,3,29,3,7,Standard,620,0,,,,
244,69,Female,0,29,1,5,Basic,1826,0,,,,
245,30,Female,50,22,3,11,Standard,4299,0,,,,
246,58,Female,9,9,6,7,Standard,1206,1,,,,
247,20,Female,14,24,6,5,Standard,1575,0,,,,
248,56,Male,51,42,0,14,Standard,1016,0,,,,
249,23,Female,35,19,0,28,Standard,2082,0,,,,
250,25,Male,28,38,2,24,Standard,4412,0,,,,
251,44,Male,51,31,1,18,Basic,2433,1,,,,
252,26,Male,45,39,2,13,Basic,4021,1,,,,
253,79,Male,4,15,3,2,Standard,760,0,,,,
254,54,Male,28,32,6,17,Standard,3834,1,,,,
255,50,Male,46,46,1,9,Basic,2145,0,,,,
256,68,Female,46,48,6,13,,769,0,,,,
257,59,Male,26,46,4,13,Premium,2079,1,,,,
258,61,Female,24,29,7,21,Standard,2421,0,,,,
259,41,Male,15,34,7,6,Basic,3927,0,,,,
260,32,Female,15,9,4,6,Standard,2832,0,,,,
261,76,Female,35,35,9,20,Standard,1952,0,,,,
262,71,Male,24,6,7,21,Standard,2206,1,,,,
263,49,Female,40,37,8,22,Basic,1745,1,,,,
264,49,Female,0,14,6,10,Standard,1529,1,,,,
265,41,Female,4,47,5,17,Standard,3541,0,,,,
266,58,Female,40,49,6,9,,1019,1,,,,
267,69,Female,19,9,6,14,Standard,2212,0,,,,
268,66,Female,4,19,2,29,Premium,4051,0,,,,
269,79,Male,35,23,5,11,,4195,1,,,,
270,66,Male,28,41,5,22,Standard,511,0,,,,
271,75,Female,47,28,8,16,Standard,4493,1,,,,
272,69,Male,33,16,0,21,Basic,3399,1,,,,
273,29,Female,57,26,6,23,Standard,2958,0,,,,
274,79,Male,47,38,0,28,Basic,1320,0,,,,
275,56,Female,17,40,9,16,Basic,2390,0,,,,
276,19,Unknown,1,25,3,0,Premium,2850,0,,,,
277,20,Male,15,35,6,5,Premium,853,1,,,,
278,66,Male,28,5,5,20,Basic,1586,0,,,,
279,54,Female,32,7,5,14,Standard,4453,0,,,,
280,66,Female,15,23,4,18,Standard,4346,0,,,,
281,73,Male,34,25,6,13,Standard,1540,0,,,,
282,34,Male,46,1,8,9,Basic,3471,0,,,,
283,76,Female,42,22,5,28,Standard,2306,0,,,,
284,66,Female,41,4,9,9,Basic,2030,1,,,,
285,19,Male,16,28,6,22,Basic,2469,1,,,,
286,19,Male,3,48,8,6,Standard,1871,0,,,,
287,45,Female,48,14,6,6,Premium,3870,0,,,,
288,71,Male,3,33,5,13,Premium,2352,0,,,,
289,40,Male,50,4,2,14,Standard,2262,0,,,,
290,54,Female,24,42,0,21,Basic,1191,0,,,,
291,49,Male,32,11,9,19,Standard,2569,0,,,,
292,50,Female,13,39,8,8,Premium,1510,0,,,,
293,18,Male,23,32,6,27,Basic,943,1,,,,
294,36,Female,10,4,2,14,Premium,1762,1,,,,
295,79,Female,24,1,9,8,Basic,4865,0,,,,
296,19,Male,27,26,8,22,Standard,977,0,,,,
297,70,Female,6,33,2,6,Basic,4142,1,,,,
298,61,Male,48,17,2,23,Standard,4795,0,,,,
299,43,Female,35,27,6,10,Basic,3731,0,,,,
300,49,Female,9,42,1,4,Basic,2950,0,,,,
301,23,Male,48,5,9,26,Standard,4007,0,,,,
302,49,Male,35,7,6,8,Standard,1661,0,,,,
303,72,Male,30,25,6,,Premium,1211,0,,,,
304,21,Female,18,8,0,6,Standard,2254,1,,,,
305,72,Male,17,34,9,27,,4432,1,,,,
306,28,Male,48,41,1,22,Basic,303,1,,,,
307,73,Male,5,4,4,24,Standard,4776,0,,,,
308,76,Male,27,12,3,22,Premium,2739,0,,,,
309,34,Female,6,31,2,13,Standard,963,0,,,,
310,55,Male,37,11,9,18,,3809,0,,,,
311,41,Female,56,37,7,21,Standard,3121,0,,,,
312,22,Male,11,44,6,21,Standard,4732,0,,,,
313,69,Male,40,36,8,10,Standard,633,0,,,,
314,51,Female,49,45,2,27,Premium,839,0,,,,
315,23,Unknown,33,22,9,6,Premium,1938,0,,,,
316,39,Female,24,1,0,5,Standard,4506,1,,,,
317,28,Male,16,4,8,3,Basic,2412,1,,,,
318,65,Male,52,36,8,13,Basic,3029,0,,,,
319,33,Female,32,8,0,21,Standard,473,0,,,,
320,50,Male,22,25,7,2,Basic,4048,0,,,,
321,26,Male,8,28,9,,Standard,2758,0,,,,
322,77,Female,5,38,0,14,Premium,3594,0,,,,
323,76,Female,1,36,5,0,Standard,4415,0,,,,
324,23,Unknown,37,36,8,20,Standard,1600,0,,,,
325,33,Female,8,43,2,10,Basic,619,1,,,,
326,46,Female,2,41,5,12,Standard,462,0,,,,
327,20,Male,15,46,2,29,Standard,1576,1,,,,
328,37,Male,24,4,4,23,Basic,4819,0,,,,
329,77,Female,23,13,6,2,Standard,2112,0,,,,
330,76,Female,46,38,9,12,Basic,3424,0,,,,
331,53,Male,28,45,3,17,Standard,2052,0,,,,
332,36,Male,43,25,3,23,Premium,4408,1,,,,
333,43,Male,54,3,6,8,Basic,630,0,,,,
334,20,Female,39,32,4,24,Premium,4643,0,,,,
335,36,Male,25,39,0,1,Standard,4247,0,,,,
336,37,Male,37,1,9,,Standard,2802,0,,,,
337,49,Female,34,11,1,7,Basic,1677,1,,,,
338,24,Female,22,2,5,1,Standard,1731,0,,,,
339,69,Male,3,5,8,22,Standard,2486,0,,,,
340,58,Female,58,22,6,23,Standard,946,1,,,,
341,50,Female,41,46,3,0,Basic,995,1,,,,
342,57,Male,13,13,1,23,Standard,1940,0,,,,
343,56,Male,52,,3,2,Premium,1456,1,,,,
344,35,Male,55,23,4,28,Basic,1719,1,,,,
345,57,Male,46,47,1,16,,1970,0,,,,
346,18,Female,38,31,0,6,Standard,2346,1,,,,
347,28,Male,6,35,3,9,Basic,1562,0,,,,
348,45,Female,7,38,5,18,Basic,2297,1,,,,
349,74,Male,41,41,0,23,Basic,2062,1,,,,
350,42,Male,50,35,0,8,Basic,1463,1,,,,
351,67,Female,18,45,8,17,Basic,4831,0,,,,
352,40,Male,1,13,4,14,Basic,3702,0,,,,
353,48,Male,46,7,1,16,Basic,958,1,,,,
354,47,Male,0,5,1,23,Basic,3317,0,,,,
355,59,Male,41,29,3,25,Basic,877,1,,,,
356,52,Female,37,8,1,21,Premium,149,0,,,,
357,24,Male,53,8,3,25,Premium,2708,1,,,,
358,77,Female,12,7,5,16,Premium,3782,1,,,,
359,33,Female,41,19,6,18,Basic,475,1,,,,
360,,Male,43,39,5,8,Basic,122,0,,,,
361,65,Male,23,23,3,24,Basic,2772,1,,,,
362,74,Female,31,36,9,5,Basic,4478,0,,,,
363,69,Female,29,42,2,18,,1129,0,,,,
364,77,Male,5,32,3,7,Premium,4475,1,,,,
365,66,Female,37,45,4,5,Basic,2745,0,,,,
366,19,Male,32,4,3,16,Standard,492,0,,,,
367,18,Female,43,30,2,,Premium,3617,1,,,,
368,65,Male,54,42,0,12,Standard,1193,0,,,,
369,79,Female,22,39,2,20,Basic,1597,1,,,,
370,29,Female,9,5,4,23,Basic,583,0,,,,
371,22,Male,56,3,5,28,Standard,2957,0,,,,
372,54,Male,45,22,3,1,Basic,4022,1,,,,
373,49,Male,14,28,0,11,Premium,2323,0,,,,
374,76,Unknown,59,22,9,6,Basic,330,0,,,,
375,72,Male,22,22,6,5,Basic,186,1,,,,
376,26,Male,55,34,8,16,Basic,4584,0,,,,
377,58,Female,35,29,5,27,Basic,1743,0,,,,
378,52,Female,56,43,5,7,Standard,818,1,,,,
379,36,Female,0,42,8,5,Basic,4932,1,,,,
380,65,Female,7,13,3,28,Basic,2329,1,,,,
381,33,Male,2,7,4,18,Standard,2569,0,,,,
382,20,Female,13,10,4,20,Basic,2348,0,,,,
383,37,Male,16,28,4,22,Basic,682,0,,,,
384,41,Male,33,4,7,8,Basic,4219,0,,,,
385,71,Female,46,32,0,19,Basic,972,0,,,,
386,73,Female,5,22,9,27,Standard,2483,1,,,,
387,50,Male,4,20,9,29,Basic,3821,0,,,,
388,41,Female,45,48,2,15,Standard,1592,0,,,,
389,69,Male,50,20,7,17,Standard,4336,1,,,,
390,28,Male,40,6,8,18,Standard,3418,0,,,,
391,66,Female,39,9,1,,,1194,0,,,,
392,25,Male,28,28,3,7,Basic,4107,0,,,,
393,53,Male,34,13,7,20,Standard,4587,0,,,,
394,55,Female,17,31,4,18,Premium,2395,1,,,,
395,57,Unknown,39,39,0,0,Premium,1228,0,,,,
396,37,Male,47,14,5,25,Standard,2405,0,,,,
397,79,Female,29,22,8,12,Basic,505,1,,,,
398,52,Female,14,37,8,0,Basic,1754,0,,,,
399,65,Female,52,45,0,10,Basic,3175,1,,,,
400,79,Female,14,24,3,1,Premium,1687,1,,,,
401,42,Male,15,8,0,20,Standard,2154,0,,,,
402,52,Male,56,15,6,2,Standard,4196,1,,,,
403,42,Male,32,41,2,12,Standard,4534,0,,,,
404,46,Female,9,,1,6,Basic,3869,0,,,,
405,35,Female,18,23,7,1,Basic,3873,0,,,,
406,63,Female,36,25,8,1,Premium,4545,0,,,,
407,35,Unknown,49,31,6,2,Standard,2202,0,,,,
408,19,Male,2,46,5,12,Standard,3952,0,,,,
409,71,Male,35,29,9,11,Basic,895,0,,,,
410,52,Male,3,23,5,0,Standard,3046,1,,,,
411,33,Male,10,10,8,17,Basic,2419,0,,,,
412,78,Male,40,9,4,4,Basic,3004,0,,,,
413,58,Male,32,49,4,18,Basic,1553,1,,,,
414,53,Female,27,13,1,26,Standard,978,1,,,,
415,50,Female,31,32,5,9,Basic,4572,0,,,,
416,21,Female,56,49,5,5,Basic,486,0,,,,
417,50,Female,15,45,5,17,Standard,3781,1,,,,
418,31,Male,8,41,3,14,Premium,2534,0,,,,
419,38,Female,10,1,6,13,Basic,1280,0,,,,
420,65,Female,5,1,8,23,Basic,4619,1,,,,
421,37,Female,58,37,0,15,Standard,886,0,,,,
422,73,Male,48,40,2,3,Premium,4472,0,,,,
423,25,Male,26,18,9,18,Standard,3319,1,,,,
424,24,Male,11,36,8,20,Standard,1938,0,,,,
425,20,Female,21,31,4,29,Basic,1873,0,,,,
426,34,Female,39,1,5,7,Premium,3285,0,,,,
427,50,Female,47,47,7,24,Premium,2142,0,,,,
428,65,Male,36,36,8,0,Standard,1724,1,,,,
429,29,Female,20,9,7,19,Premium,3672,0,,,,
430,76,Female,32,22,2,21,Basic,1348,0,,,,
431,68,Male,16,28,9,21,Basic,4342,1,,,,
432,39,Male,55,26,0,12,Basic,1725,0,,,,
433,72,Female,28,10,4,8,Basic,1571,0,,,,
434,39,Male,52,47,6,0,Premium,3852,0,,,,
435,63,Female,39,3,1,14,Standard,1446,1,,,,
436,47,Unknown,9,2,0,28,Standard,1214,0,,,,
437,55,Female,17,37,3,14,Basic,113,1,,,,
438,55,Female,46,31,2,13,Standard,1271,0,,,,
439,62,Female,51,33,3,4,Basic,1926,0,,,,
440,68,Female,12,32,0,25,Basic,3642,1,,,,
441,71,Male,26,43,1,16,Standard,508,1,,,,
442,25,Male,9,12,0,5,Basic,4579,1,,,,
443,44,Male,31,3,2,8,Premium,4252,1,,,,
444,44,Female,40,48,3,19,Basic,2661,0,,,,
445,51,Male,44,26,0,25,Standard,3749,0,,,,
446,38,Male,2,14,5,25,Premium,2492,0,,,,
447,47,Male,21,12,1,24,Standard,2002,1,,,,
448,50,Female,26,26,9,18,Standard,3258,1,,,,
449,45,Unknown,54,16,4,26,Basic,504,0,,,,
450,64,Unknown,2,8,7,22,Basic,4440,0,,,,
451,50,Female,32,49,3,20,Standard,958,1,,,,
452,22,Female,1,49,4,25,Premium,2097,1,,,,
453,77,Female,10,28,8,16,Premium,308,1,,,,
454,78,Female,45,7,1,6,Standard,2290,0,,,,
455,65,Female,9,15,1,7,Standard,1922,0,,,,
456,36,Male,38,41,5,14,Premium,645,0,,,,
457,21,Female,54,36,5,5,Standard,903,0,,,,
458,52,Male,59,8,2,0,Premium,1227,0,,,,
459,66,Male,32,10,8,8,Standard,4192,0,,,,
460,34,Female,57,15,0,6,Premium,346,0,,,,
461,61,Male,6,18,2,29,Premium,2677,0,,,,
462,45,Male,14,46,7,21,Premium,564,0,,,,
463,47,Female,25,37,7,19,Basic,719,0,,,,
464,46,Male,10,41,3,18,Basic,2058,0,,,,
465,63,Female,37,45,7,3,Standard,3135,0,,,,
466,70,Female,26,43,9,0,Basic,2515,0,,,,
467,23,Female,53,44,7,8,Basic,1329,0,,,,
468,52,Female,38,35,0,1,Premium,456,0,,,,
469,77,Female,6,2,2,15,Standard,2478,0,,,,
470,58,Female,0,22,0,1,Basic,3451,0,,,,
471,54,Female,9,15,1,2,Standard,984,0,,,,
472,41,Female,20,37,3,13,Basic,4696,0,,,,
473,46,Female,14,39,2,12,Standard,1858,0,,,,
474,66,Female,29,36,5,16,Premium,4939,0,,,,
475,63,Male,29,5,4,9,Standard,3020,1,,,,
476,70,Male,7,48,4,2,Basic,1557,0,,,,
477,48,Female,23,15,9,3,Basic,650,0,,,,
478,52,Male,18,27,6,24,Basic,299,1,,,,
479,77,Male,2,16,6,4,Basic,1490,0,,,,
480,50,Female,54,36,8,10,Standard,3842,0,,,,
481,69,Male,14,38,7,5,Standard,4534,0,,,,
482,78,Male,35,18,2,28,Basic,1543,0,,,,
483,38,Unknown,5,35,1,0,Basic,4874,0,,,,
484,49,Female,56,25,0,18,Basic,376,0,,,,
485,40,Male,41,22,9,29,Premium,153,0,,,,
486,50,Unknown,49,31,5,6,Basic,263,1,,,,
487,20,Unknown,47,37,3,22,Basic,2223,0,,,,
488,35,Male,17,34,2,9,Basic,2889,0,,,,
489,42,Male,37,23,1,28,Standard,4617,0,,,,
490,59,Female,18,16,1,11,Basic,4772,1,,,,
491,48,Female,48,6,3,11,Standard,1353,0,,,,
492,71,Female,49,15,0,28,Standard,1429,0,,,,
493,75,Female,29,18,5,0,Basic,1085,0,,,,
494,20,Female,12,38,9,8,Basic,3288,0,,,,
495,57,Male,38,13,4,16,Premium,1180,0,,,,
496,63,Female,51,24,9,22,Standard,758,1,,,,
497,41,Male,11,13,8,11,Basic,2365,1,,,,
498,67,Female,33,1,1,27,Basic,4741,0,,,,
499,49,Female,58,48,8,1,Basic,2134,1,,,,
